,,,,,,,,,,,,
,,replyCount,replyCount,replyCount,retweetCount,retweetCount,retweetCount,likeCount,likeCount,likeCount,Tweet Counts,
,Emotion,count,mean,max,count,mean,max,count,mean,max,,
,curiosity,215,0.279069767,17,215,0.544186047,46,215,1.748837209,138,215,
,realization,102,0.362745098,5,102,0.156862745,4,102,0.656862745,17,102,
,anger,86,0.151162791,3,86,0.23255814,6,86,0.581395349,14,86,
,sadness,77,0.25974026,4,77,0.701298701,31,77,2.61038961,116,77,
,caring,75,0.2,3,75,0.093333333,1,75,0.32,3,75,
,annoyance,61,0.229508197,2,61,0.06557377,1,61,0.327868852,5,61,
,disapproval,46,0.543478261,6,46,0.695652174,9,46,1.847826087,19,46,
,confusion,41,0.341463415,4,41,0.048780488,1,41,0.414634146,3,41,
,fear,32,0.5,7,32,0.21875,2,32,0.34375,6,32,
,surprise,29,0.344827586,2,29,0.172413793,4,29,0.896551724,9,29,
,disgust,28,0.071428571,1,28,0.071428571,1,28,0.428571429,4,28,
,disappointment,18,0.166666667,1,18,0.055555556,1,18,1,7,18,
,pride,9,0.222222222,2,9,0.666666667,2,9,1.666666667,4,9,
,remorse,8,0.5,3,8,0,0,8,0.25,1,8,
,embarrassment,5,0.2,1,5,0.2,1,5,0.8,3,5,
,nervousness,2,0,0,2,0,0,2,0,0,2,
,Table displaying Descriptive Statistics associated with each emotion tag,,,,,,,Total Stressor Tweet Count,,,834,
,,,,,,,,,,,,
